recid,Code,Name
1,CA,IMPORTER OR EXPORTER CODE ERROR
2,CB,OGA NOT APPROVAL OR NON TESTABLE
3,CC,CARGO NOT ARRIVE AFTER PRELIMINARY
4,CD,MIC OR MEC (SMALL AMOUNT)
5,CE,TYPE OF IMPORT OR EXPORT CODE ERROR
6,CF,DECLARATION UNABLE TO CORRECT
7,CG,ERROR IN COMMODITY
8,CH,LANDED IN ERROR
9,CI,CANCELLATION OF CONTRACT
10,CJ,OTHER
