recid,Code,Reason
1,SHI,CUSTOMS WAREHOUSE
2,FAC,"WAREHOUSE, FACTORY"
3,CIS,INSPECTION LOCATION
4,FTZ,FTZ
5,SRE,WAITING BY OGAS
6,FED,ICD; FEEDER
7,BTB,BETWEEN 2 AREAS
8,BAG,PASSENGER PROCESSING
9,SEI,SEZ (IMPORT CARGO)
10,SEB,BETWEEN SEZ
11,SEE,SEZ (EXPORT CARGO)
12,OTH,OTHER
