recid,Code,Name
1,A1,HEAD QUARTER
2,A3,YANGON AIRPORT(IMPORT CUSTOMS WAREHOUSE)
3,A4,YANGON AIRPORT(EXPORT CUSTOMS WAREHOUSE)
4,A5,THILAWA SPECIAL ECONOMIC ZONE
