recid,Code,Reason
1,6,AIRCRAFT
2,11,SEA SHIP
3,CS,COAST SHIP
4,IS,INLAND SHIP
5,16,BARGE
6,25,RAIL EXPRESS
7,31,TRUCK
8,17,OTHER
