recid,Code,Name
1,T11,America
2,T12,Canada
3,T13,South and Central America
4,T21,Europe
5,T22,Middle East
6,T23,Africa
7,T24,Central Asia
8,T31,Japan
9,T32,South East Asia
10,T33,South Asia
11,T34,China
12,T35,Oceania
13,T36,Myanmar
14,T37,East Asia
15,T99,Other
