recid,Code,Name
1,00,Coordination 
2,01,Hteedan (HPT)
3,02,Asia World (AWPT)
4,03,Ahlon (AIPT)
5,04,MIP
6,05,Sule Wharf (SPW-5)
7,06,BoAungKyaw (BSW)
8,07,ICD2
9,08,MIPL
10,09,MITT
11,10,Petrol Exam
12,11,DoF
