recid,Code,Name
1,00,Coordination 
2,01,Group 1
3,02,Group 2
4,03,Group 3 A
5,93,Group 3 B
6,04,CMP
7,05,SO
8,06,TA
9,07,Drawback
10,08,SPV 
11,09,Export
12,20,BOND
